track_id,title,artist,album,genre,seed_genre,year,duration_ms,artwork_url,external_url,source,preview_url
apple-997703873,"Mayya Mayya (From ""Guru [Tamil]"")","A.R. Rahman, Chinmayi Sripada, Maryem Tollar & Keerthi Sagathia",2008 Top Tamil Hits,Tamil,tamil,2006.0,362680,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/ed/89/b9/ed89b928-7a65-1bd3-4cc6-30653b84cdbb/886445292183.jpg/100x100bb.jpg,https://music.apple.com/in/album/mayya-mayya-from-guru-tamil/997702961?i=997703873&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/9a/c5/ee/9ac5eebf-6079-9f8d-c159-b70c620468e0/mzaf_6529602422609067129.plus.aac.p.m4a
apple-275805972,Aaruyire,"A.R. Rahman, Chinmayi Sripada, Murtuza Khan & Qadir Khan",Guru (Original Motion Picture Soundtrack) [Tamil Version],Tamil,tamil,2006.0,308787,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/f0/6f/06/f06f060c-718e-6aee-f0c4-edd195a68c7e/886970656320.jpg/100x100bb.jpg,https://music.apple.com/in/album/aaruyire/275805963?i=275805972&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/d9/21/75/d92175ee-33b0-331a-073c-bb34a64853e4/mzaf_7437975728389016320.plus.aac.p.m4a
apple-997702973,"Marudaani (From ""Sakkarakatti"")","A.R. Rahman, Madhushree & Hentry Kuruvila",2008 Top Tamil Hits,Tamil,tamil,2008.0,387200,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/ed/89/b9/ed89b928-7a65-1bd3-4cc6-30653b84cdbb/886445292183.jpg/100x100bb.jpg,https://music.apple.com/in/album/marudaani-from-sakkarakatti/997702961?i=997702973&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/f7/1c/69/f71c695b-bc7f-96bf-fc4e-c54b49208376/mzaf_11828288991859198715.plus.aac.p.m4a
apple-1875042645,"Kadalenum (From ""Kadhalar Dhinam"")","A.R. Rahman, S.P. Balasubrahmanyam, Swarnalatha & Vaali",S.P. Balasubrahmanyam And Malaysia Vasudevan Hits,Soundtrack,tamil,1999.0,400039,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ad/fe/e0/adfee082-a369-acfd-2432-ee2e8cd9d8a8/26UMGIM10772.rgb.jpg/100x100bb.jpg,https://music.apple.com/in/album/kadalenum-from-kadhalar-dhinam/1875042629?i=1875042645&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e1/28/94/e12894f5-2bef-810f-12df-eded866629a5/mzaf_14707434639841288437.plus.aac.p.m4a
apple-1875006819,"Kadalenum (From ""Kadhalar Dhinam"")","A.R. Rahman, S.P. Balasubrahmanyam, Swarnalatha & Vaali",Hits Of A.R.Rahman And Harris Jayaraj,Soundtrack,tamil,1999.0,400039,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/0f/51/78/0f5178d8-2971-4306-564a-64049db3d89d/26UMGIM10747.rgb.jpg/100x100bb.jpg,https://music.apple.com/in/album/kadalenum-from-kadhalar-dhinam/1875006509?i=1875006819&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/18/ed/76/18ed7661-2c56-0812-ed1b-01ff21d455bb/mzaf_2955318223881846721.plus.aac.p.m4a
apple-1875285686,"Kadalenum (From ""Kadhalar Dhinam"")","A.R. Rahman, S.P. Balasubrahmanyam, Swarnalatha & Vaali",Kadhalenum Thaervezhuthi - Love Hits,Soundtrack,tamil,1999.0,400039,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/23/3a/a4/233aa488-2d11-e855-b79c-7f66687e8357/26UMGIM10820.rgb.jpg/100x100bb.jpg,https://music.apple.com/in/album/kadalenum-from-kadhalar-dhinam/1875285684?i=1875285686&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/6b/dd/57/6bdd57b3-56e0-ed95-0fd0-4ee9cc8e9ffc/mzaf_14609074195382096314.plus.aac.p.m4a
apple-1875079061,"Kadalenum (From ""Kadhalar Dhinam"")","A.R. Rahman, S.P. Balasubrahmanyam, Swarnalatha & Vaali",S.P.B And K.J. Yesudas Hits,Soundtrack,tamil,1999.0,400039,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/5a/03/0a/5a030a87-4fae-57ca-fc9d-bd5983123312/26UMGIM10773.rgb.jpg/100x100bb.jpg,https://music.apple.com/in/album/kadalenum-from-kadhalar-dhinam/1875079057?i=1875079061&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/8c/77/6c/8c776c79-1c34-3669-4248-455efd120a98/mzaf_12740937687495146978.plus.aac.p.m4a
apple-997703775,"Nannare (From ""Guru [Tamil]"")","A.R. Rahman, Shreya Ghoshal & Uday Majumdar",2008 Top Tamil Hits,Tamil,tamil,2001.0,328720,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/ed/89/b9/ed89b928-7a65-1bd3-4cc6-30653b84cdbb/886445292183.jpg/100x100bb.jpg,https://music.apple.com/in/album/nannare-from-guru-tamil/997702961?i=997703775&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/4c/5f/22/4c5f2281-2832-7799-0d53-bf26da1b5107/mzaf_1572199696039477031.plus.aac.p.m4a
apple-917639897,Ennodu Nee Irundhaal,"A.R. Rahman, Sid Sriram & Sunitha Sarathy",I (Original Motion Picture Soundtrack),Tamil,tamil,2014.0,352711,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/13/7c/8e/137c8ec0-3d24-e09b-fd29-50a0773bf9f4/886444840590.jpg/100x100bb.jpg,https://music.apple.com/in/album/ennodu-nee-irundhaal/917639889?i=917639897&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/3e/9b/ea/3e9bea48-007f-c973-281e-aadb58df5d0b/mzaf_537943556202548569.plus.aac.p.m4a
apple-997703875,"Ae Maanpuru Mangaiyae (From ""Guru [Tamil]"")","A.R. Rahman, Srinivas, Sujatha & Mohammed Aslam",2008 Top Tamil Hits,Tamil,tamil,2001.0,367240,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/ed/89/b9/ed89b928-7a65-1bd3-4cc6-30653b84cdbb/886445292183.jpg/100x100bb.jpg,https://music.apple.com/in/album/ae-maanpuru-mangaiyae-from-guru-tamil/997702961?i=997703875&uo=4,Apple Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/6a/ad/82/6aad82d5-5a50-bf18-ea19-a1d779f84905/mzaf_9499255583653436280.plus.aac.p.m4a
